id,cgid,Chromosome,Start,Strand,mean.Normal,mean.RheumatoidArthritis,mean.diff,mean.quot.log2,diffmeth.p.val,max.Normal,min.Normal,sd.Normal,max.RheumatoidArthritis,min.RheumatoidArthritis,sd.RheumatoidArthritis,min.diff,diffmeth.p.adj.fdr,combinedRank,num.na.Normal,num.na.RheumatoidArthritis,mean.covg.Normal,mean.covg.RheumatoidArthritis,min.covg.Normal,min.covg.RheumatoidArthritis,max.covg.Normal,max.covg.RheumatoidArthritis,nsamples.covg.thres5.Normal,nsamples.covg.thres5.RheumatoidArthritis
16,cg15174812,chr1,566172,-,0.111253880021993,0.134768055505961,-0.0235141754839683,-0.255712379637111,0.00893847160497504,0.169818936880232,0.0732046696116745,0.0254359923951584,0.18068946943384,0.0903778686895969,0.0283058544065689,0,0.155373990237336,47982,0,0,11.8421052631579,12.9166666666667,3,7,22,22,37,12
17,cg00034556,chr1,566731,-,0.306055173830786,0.305779180474414,0.000275993356372739,0.00126037550560144,0.722592968621706,0.399072691331807,0.230578590632606,0.0449444193846835,0.37688441944694,0.143090583140326,0.0700283329381524,0,0.910922919273102,434663,0,0,14.1315789473684,13.5833333333333,7,10,23,18,38,12
18,cg00645010,chr1,567113,+,0.121450336115847,0.141441750271046,-0.0199914141551996,-0.204245159134092,0.166105695253389,0.192100375611078,0.0588529672955698,0.0313255011226132,0.236314592201147,0.0791095566430366,0.0446848197648963,0,0.540533471787716,141287,0,0,13.2368421052632,13.9166666666667,5,8,23,18,38,12
19,cg15394630,chr1,567206,-,0.212548499505405,0.218794663741626,-0.0062461642362206,-0.0399336303227837,0.762710972987202,0.2846574009605,0.154071915832288,0.0310443252724124,0.264751728537993,0.156840231158015,0.0342011159730247,0,0.925800640246235,378778,0,0,14.1578947368421,15.75,6,13,24,19,38,12
20,cg05001044,chr1,567312,+,0.12647507190836,0.136930645718704,-0.0104555738103436,-0.106497876814825,0.290269438734704,0.184286318518007,0.0882583786537778,0.0203980564626745,0.1934002515276,0.0919015046214761,0.0288397558448484,0,0.66874666966954,199564,0,0,11.3421052631579,9.91666666666667,6,5,20,16,38,12
21,cg03344490,chr1,567348,-,0.185076756747935,0.190842673605948,-0.0057659168580125,-0.0420239431844989,0.962291877902486,0.359298806669278,0.136671710542923,0.0496165246781409,0.31876682610591,0.120838913568436,0.0517432322142141,0,0.989827020522039,446982,0,0,16.6842105263158,11.8333333333333,9,9,25,17,38,12
22,cg17501828,chr1,567358,-,0.276410008325832,0.29041330556035,-0.0140032972345181,-0.0688668053638977,0.428188595183517,0.418309139667786,0.234006367011988,0.0401459599912811,0.449276705471267,0.258099828258301,0.0521394376940998,0,0.767810897700268,256401,0,0,16.8684210526316,16.5833333333333,9,14,28,19,38,12
23,cg23917638,chr1,567501,-,0.253797286416538,0.261375293055256,-0.00757800663871777,-0.0408596545875465,0.744965489092423,0.317618180534172,0.19136950965733,0.0327631687445261,0.312904987271043,0.195658529148369,0.0416100570906961,0,0.919337746148513,372564,0,0,11.3947368421053,10,4,5,21,16,37,12
24,cg18024856,chr1,567747,+,0.0617986789980678,0.0479250293707083,0.0138736496273595,0.309770429983387,0.750326788854648,0.52626593023796,0.0238347289662083,0.0798928052499458,0.0686554485297511,0.0293121710071687,0.0129203863029363,0,0.921358570459663,374424,0,0,11.0789473684211,11.5,4,7,18,17,37,12
25,cg18761878,chr1,568475,-,0.446560092206269,0.452197507197499,-0.00563741499123077,-0.0177047193455393,0.741520423324164,0.486895471209954,0.377497371205802,0.0285540119385931,0.474629208231242,0.418697846413356,0.0184863794597449,0,0.918089760634125,371347,0,0,12.0526315789474,11.1666666666667,3,7,19,16,37,12
26,cg27534567,chr1,568536,+,0.179981978472737,0.155616980824262,0.0243649976484755,0.198011971287373,0.217404099401124,0.290180936318474,0.0381429671076954,0.0630908229750355,0.252034800658567,0.0416408945890685,0.0748343382867155,0,0.600262534994708,166521,0,0,13,12,5,6,24,17,38,12
27,cg08858441,chr1,569427,-,0.40233986878325,0.421813084881223,-0.019473216097973,-0.0665729999402061,0.746589073269503,0.483045601791331,0.0451823456042424,0.0906371259167888,0.486719646642119,0.354718173234442,0.0353366619372717,0,0.919910038953294,373146,0,0,8.05263157894737,9.16666666666667,2,2,15,15,35,10
28,cg03348902,chr1,569603,-,0.233761204163094,0.229616253732933,0.00414495043016169,0.0247427591290841,0.464206892071561,0.298025392155865,0.155911351133048,0.0289435557605401,0.271534053815518,0.182498994693825,0.0288102104495733,0,0.789021748683181,270498,0,0,12.7894736842105,11.8333333333333,8,6,19,19,38,12
29,cg01070250,chr1,569687,-,0.144770564901412,0.149724102663233,-0.00495353776182084,-0.0454509164664528,0.61084004967068,0.19688539630169,0.0858504974716078,0.0204422112702599,0.192354746435405,0.11401090946929,0.0218979910016348,0,0.863612484037411,325199,0,0,13.4473684210526,14.8333333333333,5,10,21,22,38,12
30,cg21996134,chr1,663153,-,0.95751404585135,0.95932053199408,-0.00180648614272949,-0.00269120490216519,0.547653609534515,0.979343464475253,0.924780880611958,0.0131988774568742,0.980455344864368,0.947410580279799,0.0101623987523216,0,0.833582846992716,402124,0,0,12.1052631578947,13.25,6,8,17,19,38,12
31,cg07264491,chr1,665298,+,0.817563292593849,0.82090794891325,-0.00334465631940073,-0.00581900428110836,0.614371960824433,0.86703090058167,0.753826999258488,0.0196780400404423,0.842345378764916,0.782762025656519,0.0182583973722268,0,0.86522017187385,352533,0,0,11.9473684210526,10.5833333333333,4,4,20,16,37,11
32,cg15560884,chr1,710097,+,0.723973806998512,0.722671979901863,0.00130182709664906,0.00256113644678307,0.765953071167246,0.768125411449856,0.676244963097559,0.021390178045437,0.760013324500825,0.675289610669739,0.0243443715797967,0,0.926885849888099,404512,0,0,13.7631578947368,13.5833333333333,3,7,27,19,37,12
33,cg10037654,chr1,713921,+,0.0598006283579588,0.0614968193566884,-0.00169619099872966,-0.0346390389677904,0.64692751530851,0.0825218668621778,0.0419251009791687,0.00993476417038275,0.0797790472747228,0.0451147353746109,0.0107038336977621,0,0.880007921893822,337996,0,0,13.9210526315789,11.5833333333333,6,3,26,19,38,11
34,cg14057946,chr1,713985,-,0.100512509376471,0.0976987675698036,0.00281374180666696,0.0372079428165112,0.558301720305642,0.128383994916959,0.0679768395666405,0.0139069483830609,0.111961186569856,0.0819973686107994,0.00969751115784047,0,0.838898735244212,305985,0,0,13.5,14.25,7,7,25,22,38,12
35,cg11422233,chr1,714002,-,0.0961409694151936,0.0957000259396919,0.000440943475501651,0.00600589968974475,0.963688687165199,0.131863082861105,0.0639120679506406,0.0178354212659409,0.136889657066876,0.0748356529287571,0.0166830842103856,0,0.990255037899078,447436,0,0,12.8421052631579,13.5833333333333,8,11,20,17,38,12
36,cg16047670,chr1,714012,+,0.0415916099682337,0.0423313392875848,-0.000739729319351165,-0.0205387135896714,0.563354735851097,0.0682692849569255,0.0296612940088459,0.00991847887628771,0.0597148555815583,0.0294502060605052,0.00918828791774732,0,0.841374883015688,395668,0,0,6.97368421052632,8.08333333333333,2,3,13,14,29,10
37,cg18263059,chr1,714021,+,0.0443871282755751,0.0442127957217276,0.000174332553847523,0.00463184351668041,0.590149997913887,0.0983757209652566,0.0187187356795616,0.0233758723631169,0.0733958406510053,0.0189106367661292,0.0175568286633477,0,0.854330287062817,443913,0,0,10.8684210526316,9.41666666666667,4,6,18,14,37,12
38,cg01014490,chr1,714177,-,0.0234925577121476,0.0239527837647124,-0.000460226052564891,-0.0196893109242909,0.65735148906179,0.0306191452751698,0.0204983712777452,0.00223768099287338,0.0266478335678559,0.0213121560098079,0.00207501409898819,0,0.884512547519963,418470,0,0,10,9.16666666666667,5,3,17,13,38,11
39,cg04231937,chr1,714526,+,0.035691297081611,0.0366020379275172,-0.00091074084590613,-0.0284736476827201,0.68343351016588,0.0473988697926397,0.0295241227750773,0.00383507997271554,0.0489316025900413,0.0294067837148779,0.00526809163444683,0,0.895353353332659,382745,0,0,11.7631578947368,13.4166666666667,4,9,17,19,37,12
40,cg04496485,chr1,714565,+,0.0619928214675758,0.0666083585931807,-0.0046155371256049,-0.0896487504318114,0.351424368742776,0.0921770753582732,0.0466481225013573,0.00995016289210999,0.106624560121524,0.0484074096935731,0.0177965274747094,0,0.716382618239553,225543,0,0,13.9736842105263,14.3333333333333,5,9,24,21,38,12
41,cg17505339,chr1,720865,-,0.930493840578712,0.931341508651734,-0.00084766807302239,-0.00129971690507489,0.689744843448198,0.940015914039534,0.903394991793394,0.00717077613221672,0.941297464868447,0.923445542829323,0.00531952336287612,0,0.897835496711113,429813,0,0,14.2894736842105,13.0833333333333,8,8,22,22,38,12
42,cg09989996,chr1,753376,-,0.941863103022224,0.942898779672641,-0.00103567665041693,-0.00156887401868142,0.730751804630681,0.964585947502646,0.919308373733029,0.00971583889364795,0.955167670197402,0.930139302430603,0.00771027256642812,0,0.914012788043803,424149,0,0,10.9736842105263,11.0833333333333,3,9,18,18,35,12
43,cg11954957,chr1,758829,+,0.682432347233069,0.72410124458657,-0.0416688973535012,-0.0843059257576814,0.00441399870398416,0.771238540166214,0.598658303096252,0.0477694844733081,0.782648294187656,0.679472640146132,0.0364423910930221,0,0.111956364104827,79696,0,0,11.7894736842105,13.0833333333333,5,6,20,22,38,12
44,cg01068023,chr1,761370,-,0.892620223026345,0.88974612672418,0.00287409630216551,0.00460111563591045,0.392592166365146,0.926298948148796,0.85782013906891,0.017895009171131,0.914593385671523,0.867057175377475,0.0155613848721561,0,0.745026913466966,369995,0,0,12.0526315789474,11.4166666666667,5,8,21,17,38,12
45,cg08167039,chr1,762232,+,0.0551422094597096,0.0613055200817674,-0.00616331062205776,-0.130421113372873,0.0540379315015288,0.086396586247387,0.0345409358582162,0.0110635452856194,0.0721639639463486,0.0513941332387548,0.0065804667088261,0,0.34392314226856,188890,0,0,13.6578947368421,15.4166666666667,6,7,20,22,38,12
46,cg20677962,chr1,762279,+,0.0391643471966767,0.0404400832610232,-0.00127573606434656,-0.0369581701693879,0.446486843155548,0.0556151258427727,0.0302820133298678,0.00553245356533539,0.0524571287196671,0.0316361009910297,0.00503461436424115,0,0.778367558067109,358024,0,0,12.4473684210526,13.4166666666667,7,6,21,22,38,12
47,cg24699430,chr1,762651,+,0.0283827214001388,0.025739434626052,0.00264328677408675,0.102940192599013,0.0069173709506957,0.0427878212353839,0.0215523337491631,0.00339951759243823,0.0287213029878518,0.0216411367086448,0.00188581834256562,0,0.137995017515235,288204,0,0,11.3157894736842,12.6666666666667,3,5,18,18,37,12
48,cg01551879,chr1,762882,-,0.0233698236450199,0.0225104443842762,0.000859379260743687,0.0376407857755625,0.298427864895729,0.0347454789505308,0.0189128282527189,0.00288046825465144,0.027117596742244,0.0187319768158538,0.0027164532032045,0,0.675206812159044,386568,0,0,12.9736842105263,13.0833333333333,7,5,19,20,38,12
49,cg22394869,chr1,762912,-,0.046395212575141,0.0337735401418538,0.0126216724332872,0.365513631305245,0.00159326069210912,0.0738335466417251,0.0293988945284726,0.0133441352398031,0.0468514998063782,0.0234638643998652,0.00651873904508702,0,0.0694185406264434,105324,0,0,10.3684210526316,9.66666666666667,2,5,16,14,36,12
50,cg02550592,chr1,762915,-,0.0657084358902759,0.0515748345437348,0.0141336013465411,0.298113216847256,0.0492444067994709,0.132773584213369,0.0273189446851686,0.0281485221211513,0.103290334457352,0.0234574488704789,0.0294144789217014,0,0.330458012626545,93212,0,0,12.7894736842105,11.75,9,8,18,16,38,12
51,cg03213877,chr1,763116,-,0.0319410848673779,0.032783803625714,-0.00084271875833606,-0.0287005693724293,0.309154724529485,0.0365702580020061,0.0265334203348026,0.00241818795188759,0.0376729936117691,0.0276188665032193,0.00256730590236787,0,0.683740137701589,387750,0,0,9.23684210526316,10.1666666666667,1,6,14,16,35,12
52,cg23803172,chr1,763119,-,0.0191283056042801,0.019557961085978,-0.000429655481697891,-0.0211249732856354,0.402047841055813,0.0239190470777463,0.0168410007862958,0.0014209560616933,0.021801345531287,0.0175901877461772,0.0013245796739735,0,0.751613005629607,421222,0,0,10.7894736842105,10.8333333333333,6,5,16,17,38,12
53,cg19411932,chr1,763127,-,0.0257291981160807,0.0252351815206611,0.000494016595419582,0.0200868889304496,0.414108354620953,0.0295181721007853,0.0211795596427129,0.00169733933139826,0.027761014222851,0.0222081031129592,0.00160934236268309,0,0.759479466519813,415648,0,0,8.42105263157895,7.58333333333333,1,1,14,12,35,10
54,cg08939496,chr1,765632,+,0.866565209027309,0.876744334093878,-0.0101791250665685,-0.0166567877345251,0.254907226080954,0.913427011633505,0.798037911550512,0.0263117332581621,0.905952079779056,0.839183114456709,0.0177574856698601,0,0.63767043093039,254284,0,0,11.5,13.1666666666667,4,8,23,18,37,12
55,cg16736630,chr1,779995,-,0.480818072608294,0.585244591246328,-0.104426518638034,-0.278294234323107,0.000111006921146007,0.61668034063445,0.282258703889498,0.0926802721299808,0.705638863289283,0.468159257105378,0.0745375965076701,0,0.0243745420610709,9203,0,0,8.26315789473684,8.58333333333333,3,4,14,14,35,11
56,cg01793617,chr1,785628,+,0.848404385298964,0.830636907234104,0.0177674780648609,0.0301746485451834,0.000738767645389334,0.896396993511486,0.80345560790589,0.0169428877745448,0.849913879928531,0.800098054490431,0.0144755297646103,0,0.0485863096033594,189631,0,0,13.5,12.75,5,10,22,17,38,12
57,cg05662829,chr1,787423,-,0.795077815083124,0.784833470267786,0.010244344815338,0.0184756087230323,0.364071876540641,0.878160193290926,0.698982824434644,0.0473872735959558,0.831307623247984,0.72931423195766,0.0313545678725806,0,0.725297913326704,243432,0,0,13.1578947368421,11.5,6,5,23,15,38,12
58,cg22714517,chr1,788864,-,0.930767150542935,0.931866618122093,-0.00109946757915791,-0.00168508249538562,0.983155014793435,0.946658949104887,0.836582767849641,0.0175860393900439,0.940914305588786,0.914331528797541,0.007674256880014,0,0.995488535896033,454074,0,0,14.7368421052632,14.75,8,3,22,20,38,11
59,cg00168193,chr1,790667,+,0.859697881064917,0.871224042991174,-0.011526161926257,-0.0189945383968906,0.0226547208259315,0.891869365824024,0.815000889679222,0.0160350003727366,0.897528279452247,0.843601650766321,0.0164877678489586,0,0.236270575595033,240555,0,0,11.7105263157895,13.3333333333333,3,7,23,19,36,12
60,cg14280098,chr1,791298,+,0.941687264524235,0.938820127792625,0.00286713673161021,0.00435295026898359,0.318343512010626,0.948636426118013,0.928598117380929,0.00493511230805518,0.95199742065548,0.911968090421091,0.0107062569465541,0,0.691087682636201,373738,0,0,13.3421052631579,13.0833333333333,8,2,20,23,38,11
61,cg15903280,chr1,793962,-,0.634726714189666,0.62669865417437,0.00802806001529599,0.0180770479365991,0.766254666620167,0.776955039838017,0.546233086221594,0.0515997888141671,0.69384263803269,0.525285958505697,0.0503177224244835,0,0.927014105308093,380040,0,0,11.8947368421053,12.0833333333333,5,7,19,23,38,12
62,cg04352959,chr1,799522,+,0.91006716355892,0.91263183010516,-0.00256466654624021,-0.00401588551319047,0.66294877509253,0.942789673942676,0.863239314448683,0.0186243832938126,0.92717571840585,0.888857588676341,0.0119105924704772,0,0.88682769122604,379092,0,0,11.6315789473684,11,5,4,19,16,38,11
63,cg08258224,chr1,800083,+,0.864601686689107,0.853664356005143,0.0109373306839645,0.0181553808119403,0.224298660183861,0.907416718886012,0.810262390589933,0.0232574223258529,0.882170520114626,0.781514062029063,0.0287275101777804,0,0.607697369416938,245250,0,0,13.2894736842105,15.8333333333333,7,8,24,23,38,12
64,cg12285627,chr1,803059,+,0.622578878772647,0.593585138274786,0.0289937404978611,0.0676881027356178,0.00104417091693247,0.702202392693438,0.579350091349679,0.0242183912318486,0.623109412890222,0.562656004206441,0.0181055474473272,0,0.0567427957843406,101142,0,0,13,12.5833333333333,5,3,25,21,38,11
65,cg05898754,chr1,805102,+,0.364908662863174,0.350846786708719,0.0140618761544543,0.0551527539644279,0.122498401434868,0.441214203833484,0.274324558058803,0.0257255538118639,0.388947789741762,0.318637645798245,0.0218696182806271,0,0.479756468563692,122669,0,0,12.9473684210526,13,6,8,24,18,38,12
66,cg03128332,chr1,805338,+,0.239796482706705,0.24042535179773,-0.000628869091025885,-0.00362745779727723,0.857305938697326,0.334085813311687,0.143401663206465,0.0526812997895648,0.339819157632977,0.160457874214811,0.0483933337542054,0,0.958123232012987,411392,0,0,11.0789473684211,12.5833333333333,6,8,17,15,38,12
67,cg15994267,chr1,805352,+,0.423855556151544,0.421217960395348,0.00263759575619643,0.00879753694037093,0.738253393441757,0.479341928856234,0.364209582867763,0.0216520052267645,0.441972674223517,0.391608353392564,0.0146446163073115,0,0.916868103017535,370204,0,0,13,12.75,8,4,22,20,38,11
68,cg16619049,chr1,805541,+,0.430621696892377,0.423894735411764,0.00672696148061341,0.022195455753209,0.944576567199998,0.54154646688644,0.312079238478949,0.055025832054883,0.509194678030061,0.337469721364467,0.0448434169097362,0,0.984698062184639,441037,0,0,9.92105263157895,10.1666666666667,3,4,20,18,37,11
69,cg20275697,chr1,809469,+,0.773885101187835,0.826961821231057,-0.0530767200432223,-0.0945196091996132,0.0053048013353531,0.860262449408444,0.635369575281877,0.057966523992664,0.882048840277161,0.723308892813689,0.0492307502695648,0,0.121822042832924,69301,0,0,13.1315789473684,11.0833333333333,6,3,21,16,38,11
70,cg05475702,chr1,812248,-,0.757403213614545,0.767280748168028,-0.00987753455348317,-0.0184509772942137,0.558100224161803,0.829938149727203,0.682737750322573,0.0376552311319202,0.81920234114073,0.72806375661854,0.0263256309189691,0,0.838856833360602,305890,0,0,7.60526315789474,9.41666666666667,1,2,14,17,34,11
71,cg18147296,chr1,812539,+,0.846600707903685,0.861529770486775,-0.01492906258309,-0.0249270765617095,0.0950289827557407,0.902076942529899,0.762356183420124,0.0263085839513291,0.894960292564068,0.819193312538865,0.0219498286233603,0,0.434282104341427,210850,0,0,12.6578947368421,13.0833333333333,5,7,21,19,38,12
72,cg05597748,chr1,812679,+,0.810353665020651,0.816385303212112,-0.00603163819146102,-0.0105685886953213,0.297447133027651,0.838675070662912,0.747997830442171,0.0182598436238985,0.835358963070782,0.786012515373501,0.0142746929203457,0,0.674401645328966,299861,0,0,14.0263157894737,11.25,5,7,19,15,38,12
73,cg00111697,chr1,812760,-,0.725260034219501,0.73634006635407,-0.0110800321345687,-0.0215785695693842,0.390144299419751,0.816336749815188,0.612009073762924,0.0387124761177776,0.784145981840204,0.676227525437102,0.0343464115399786,0,0.743493303294818,241263,0,0,17.7631578947368,18.4166666666667,12,11,29,28,38,12
74,cg10988531,chr1,813317,-,0.803829572337017,0.807948825689555,-0.0041192533525386,-0.0072838799861567,0.596405816607497,0.857171623728526,0.739869325760095,0.0266117649854556,0.839106802906721,0.74430417423522,0.0253159611972407,0,0.857101270014698,333974,0,0,14.5526315789474,13.75,5,6,25,21,38,12
75,cg24373735,chr1,833555,+,0.916465467147782,0.917925688270995,-0.00146022112321265,-0.00227207102700267,0.930599380843591,0.946018565351917,0.869028898156875,0.0171775150896258,0.930726807152258,0.879103537875701,0.0131608060539775,0,0.980793836259427,436242,0,0,12.8947368421053,13.3333333333333,7,10,19,19,38,12
76,cg13938959,chr1,834183,-,0.658670795598065,0.639767730129365,0.0189030654686997,0.0413720126761294,0.341038648179459,0.804126071104747,0.587291489400466,0.0534976648684875,0.713828571948233,0.510138647417878,0.0578203259417786,0,0.70863340135294,221271,0,0,13.3947368421053,14.8333333333333,7,6,21,21,38,12
77,cg12445832,chr1,834295,+,0.458752592591754,0.452761033438487,0.00599155915326649,0.0185592816766226,0.715335448864,0.547620323690265,0.319782309904102,0.0491348634093028,0.51178254361607,0.314676887603882,0.0508832362823881,0,0.908037372116963,362198,0,0,13.5263157894737,12.6666666666667,6,8,19,23,38,12
78,cg23999112,chr1,834356,+,0.687114769629671,0.664040993227912,0.0230737764017588,0.0485598594106494,0.15145207760703,0.806468257743025,0.564513943904517,0.0526869626406366,0.714688655763187,0.503351172728167,0.0554784785194428,0,0.521427932584587,136610,0,0,12.6052631578947,11.1666666666667,4,4,23,18,37,11
79,cg11527153,chr1,837536,-,0.868284825848157,0.874302703884857,-0.00601787803669973,-0.00985142171847264,0.282149480546229,0.897446398138483,0.794888995763892,0.020421088315161,0.904066155013606,0.843779907085558,0.0173604948651614,0,0.661558980310297,306434,0,0,13.8421052631579,13,8,9,24,18,38,12
80,cg27573606,chr1,838379,+,0.948062819453119,0.94905591272318,-0.000993093270061363,-0.001494670976777,0.634763720811961,0.961989740723872,0.937861005550894,0.00453025287586527,0.960043902066865,0.93496645788858,0.00669219963995004,0,0.874577775259845,425674,0,0,8.28947368421053,8,5,1,13,14,38,9
81,cg04195702,chr1,838486,-,0.879727998355268,0.888084547272668,-0.00835654891740012,-0.0134869167484487,0.292568032711467,0.940948373512172,0.841208669662722,0.0235495213675644,0.9320535327271,0.814351109902303,0.0287115915292629,0,0.670506017181856,275987,0,0,11.1578947368421,10.0833333333333,6,5,17,19,38,12
82,cg08128007,chr1,839435,+,0.813111772368406,0.812238167902845,0.00087360446556084,0.00153200838040635,0.605226321360708,0.888658145922204,0.716800333643135,0.0511084721422104,0.847275129985454,0.763643176232432,0.0297384799192497,0,0.861185462850421,424907,0,0,12.6578947368421,16.1666666666667,4,6,19,24,37,12
83,cg23733394,chr1,839752,-,0.331887539541271,0.323162119236903,0.00872542030436857,0.0372974685530572,0.884254502171811,0.556702428063843,0.0441535007840088,0.126538005268745,0.418810438212639,0.211092405836755,0.0613017635463637,0,0.96686509110543,420488,0,0,13.8157894736842,12.6666666666667,4,6,23,17,37,12
84,cg13371836,chr1,840274,-,0.0247808518286818,0.0243743801302827,0.000406471698399115,0.016959568785466,0.452480268403585,0.0294820640571386,0.0205167671052965,0.00201345532875463,0.0272611819571942,0.0220486210831867,0.00173224037219883,0,0.782119979824874,423239,0,0,12.5526315789474,11.5,6,5,19,15,38,12
85,cg04407431,chr1,840618,+,0.0236208896440079,0.0225050338884674,0.00111585575554055,0.048694742052798,0.41707755780448,0.0355318526088313,0.0159072255101335,0.00470287102492303,0.0269137487569032,0.0178429233556287,0.00302208957183253,0,0.761351720925181,368421,0,0,12.1052631578947,12.5,3,5,21,23,37,12
86,cg13565718,chr1,841289,+,0.898300752278521,0.899660937748474,-0.00136018546995298,-0.00215882788853211,0.7268362110781,0.934685050862156,0.863791252601706,0.0171808055447059,0.920001918139028,0.869471601946798,0.0143646124413868,0,0.912553675074459,412164,0,0,13.4473684210526,10.5833333333333,6,6,23,16,38,12
